順番,名前,H,A,B,S,C,D,タイプ1,タイプ2,捕獲率,基礎経験値,努力値1,努力値2,持ち物50%,持ち物5%,性別判定,孵化歩数,初期懐き度,経験値タイプ,タマゴグループ1,タマゴグループ2,特性1,特性2,逃走値,色，向き,夢特性,28byte目,進化条件1,汎用変数1,進化先1,進化に必要なレベル1,進化条件2,汎用変数2,進化先2,進化に必要なレベル2,進化条件3,汎用変数3,進化先3,進化に必要なレベル3,進化条件4,汎用変数4,進化先4,進化に必要なレベル4,進化条件5,汎用変数5,進化先5,進化に必要なレベル5,
17,ピジョン終　,63,60,55,71,50,50,無,飛,120,113,128,0,アイテムなし,アイテムなし,127,15,70,3,4,4,するどいめ終　　,はりきり終　　　,0,5,0,0,普通にレベルアップ,36,ピジョット終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
18,ピジョット終,83,80,75,101,70,70,無,飛,45,172,192,0,アイテムなし,アイテムなし,127,15,70,3,4,4,するどいめ終　　,はりきり終　　　,0,5,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
19,コラッタ終　,30,56,35,72,25,35,無,無,255,57,64,0,アイテムなし,アイテムなし,127,15,70,0,5,5,にげあし終　　　,こんじょう終　　,0,6,0,0,普通にレベルアップ,20,ラッタ終　　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
20,ラッタ終　　,55,81,60,97,50,70,無,無,127,116,128,0,オレンのみ,オボンのみ,127,15,70,0,5,5,にげあし終　　　,こんじょう終　　,0,5,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
21,オニスズメ終,40,60,30,70,31,31,無,飛,255,58,64,0,アイテムなし,アイテムなし,127,15,70,0,4,4,するどいめ終　　,ーーーーーーー終,0,5,0,0,普通にレベルアップ,20,オニドリル終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
22,オニドリル終,65,90,65,100,61,61,無,飛,90,162,128,0,アイテムなし,するどいくちばし,127,15,70,0,4,4,するどいめ終　　,おおきなつばさ終,0,5,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
23,アーボ終　　,35,60,44,55,40,54,毒,毒,255,62,4,0,アイテムなし,アイテムなし,127,20,70,0,5,14,いかく終　　　　,だっぴ終　　　　,0,6,0,0,普通にレベルアップ,22,アーボック終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
24,アーボック終,60,95,69,80,65,79,毒,毒,90,147,8,0,アイテムなし,どくバリ,127,20,70,0,5,14,いかく終　　　　,だっぴ終　　　　,0,6,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
25,ピカチュウ終,35,55,40,90,50,50,電,電,190,82,128,0,アイテムなし,でんきだま,127,10,70,0,5,6,せいでんき終　　,ーーーーーーー終,0,2,0,0,アイテム使用,かみなりのいし,ライチュウ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
26,ライチュウ終,60,90,55,110,90,80,電,電,75,122,192,0,アイテムなし,アイテムなし,127,10,70,0,5,6,せいでんき終　　,せいでんき終　　,0,2,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
27,サンド終　　,50,75,85,40,20,30,地,地,255,93,16,0,アイテムなし,アイテムなし,127,20,70,0,5,5,すながくれ終　　,ーーーーーーー終,0,2,0,0,普通にレベルアップ,22,サンドパン終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
28,サンドパン終,75,100,110,65,45,55,地,地,90,163,32,0,アイテムなし,やわらかいすな,127,20,70,0,5,5,すながくれ終　　,ーーーーーーー終,0,2,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
29,ニドラン♀終,55,47,52,41,40,40,毒,毒,235,59,1,0,アイテムなし,アイテムなし,254,20,70,3,1,5,どくのトゲ終　　,ーーーーーーー終,50,1,0,0,普通にレベルアップ,16,ニドリーナ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
30,ニドリーナ終,70,62,67,56,55,55,毒,毒,120,117,2,0,アイテムなし,アイテムなし,254,20,70,3,15,15,どくのトゲ終　　,ーーーーーーー終,75,1,0,0,アイテム使用,つきのいし,ニドクイン終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
31,ニドクイン終,90,92,87,76,75,85,毒,地,45,194,3,0,アイテムなし,アイテムなし,254,20,70,3,15,15,どくのトゲ終　　,ーーーーーーー終,0,1,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
32,ニドラン♂終,46,57,40,50,40,40,毒,毒,235,60,4,0,アイテムなし,アイテムなし,0,20,70,3,1,5,どくのトゲ終　　,ーーーーーーー終,50,6,0,0,普通にレベルアップ,16,ニドリーノ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
33,ニドリーノ終,61,72,57,65,55,55,毒,毒,120,118,8,0,アイテムなし,アイテムなし,0,20,70,3,1,5,どくのトゲ終　　,ーーーーーーー終,75,6,0,0,アイテム使用,つきのいし,ニドキング終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
34,ニドキング終,81,102,77,85,85,75,毒,地,45,195,12,0,アイテムなし,アイテムなし,0,20,70,3,1,5,どくのトゲ終　　,ーーーーーーー終,0,6,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
35,ピッピ終　　,70,45,48,35,60,65,妖,妖,150,68,2,0,アイテムなし,つきのいし,191,10,140,4,6,6,メロメロボディ終,ーーーーーーー終,0,9,0,0,アイテム使用,つきのいし,ピクシー終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
36,ピクシー終　,95,70,73,60,95,90,妖,妖,25,129,3,0,アイテムなし,つきのいし,191,10,140,4,6,6,メロメロボディ終,ーーーーーーー終,0,9,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
37,ロコン終　　,38,41,40,65,50,65,炎,炎,190,63,64,0,チーゴのみ,アイテムなし,191,20,70,0,5,5,もらいび終　　　,ひでり終　　　　,0,5,0,0,アイテム使用,ほのおのいし,キュウコン終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
38,キュウコン終,73,76,75,100,81,100,炎,炎,75,178,64,4,チーゴのみ,アイテムなし,191,20,70,0,5,5,もらいび終　　　,ひでり終　　　　,0,2,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
39,プリン終　　,115,45,20,20,45,25,妖,無,170,76,2,0,オレンのみ,アイテムなし,191,10,70,4,6,6,メロメロボディ終,ーーーーーーー終,0,9,0,0,アイテム使用,つきのいし,プクリン終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
40,プクリン終　,140,70,45,45,85,50,妖,無,50,109,3,0,オレンのみ,アイテムなし,191,10,70,4,6,6,メロメロボディ終,ーーーーーーー終,0,9,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
41,ズバット終　,40,45,35,55,30,40,毒,飛,255,54,64,0,アイテムなし,アイテムなし,127,15,70,0,4,4,せいしんりょく終,ーーーーーーー終,0,6,0,0,普通にレベルアップ,22,ゴルバット終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
42,ゴルバット終,75,80,70,90,65,75,毒,飛,90,171,128,0,アイテムなし,アイテムなし,127,15,70,0,4,4,せいしんりょく終,ーーーーーーー終,0,6,0,0,懐き度220以上でレベルアップ,0,クロバット終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
43,ナゾノクサ終,45,50,55,30,75,65,草,毒,255,78,0,1,アイテムなし,アイテムなし,127,20,70,3,7,7,ようりょくそ終　,ーーーーーーー終,0,1,0,0,普通にレベルアップ,21,クサイハナ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
44,クサイハナ終,60,65,70,40,85,75,草,毒,120,132,0,2,アイテムなし,アイテムなし,127,20,70,3,7,7,ようりょくそ終　,ーーーーーーー終,0,1,0,0,アイテム使用,リーフのいし,ラフレシア終,0,アイテム使用,たいようのいし,キレイハナ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
45,ラフレシア終,75,80,85,50,110,90,草,毒,45,184,0,3,アイテムなし,アイテムなし,127,20,70,3,7,7,ようりょくそ終　,ーーーーーーー終,0,0,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
46,パラス終　　,35,70,55,25,45,55,虫,草,190,70,4,0,ちいさなキノコ,おおきなキノコ,127,20,70,0,3,7,ほうし終　　　　,はっこう終　　　,50,0,0,0,普通にレベルアップ,24,パラセクト終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
47,パラセクト終,60,95,80,30,60,80,虫,草,75,128,24,0,ちいさなキノコ,おおきなキノコ,127,20,70,0,3,7,ほうし終　　　　,テクニシャン終　,75,0,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
48,コンパン終　,60,55,50,45,40,55,虫,毒,190,75,0,4,アイテムなし,アイテムなし,127,20,70,0,3,3,ふくがん終　　　,ーーーーーーー終,50,6,0,0,普通にレベルアップ,31,モルフォン終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
49,モルフォン終,70,65,60,90,90,75,虫,毒,75,138,64,1,アイテムなし,ぎんのこな,127,20,70,0,3,3,りんぷん終　　　,ーーーーーーー終,75,6,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
50,ディグダ終　,10,55,25,95,35,45,地,地,255,81,64,0,アイテムなし,アイテムなし,127,20,70,0,5,5,すながくれ終　　,ありじごく終　　,0,5,0,0,普通にレベルアップ,26,ダグトリオ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
51,ダグトリオ終,35,100,50,120,50,70,地,地,50,153,128,0,アイテムなし,アイテムなし,127,20,70,0,5,5,すながくれ終　　,ありじごく終　　,0,5,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
52,ニャース終　,40,45,35,90,40,40,無,無,255,69,64,0,アイテムなし,きんのたま,127,20,70,0,5,5,ものひろい終　　,テクニシャン終　,0,2,0,0,普通にレベルアップ,28,ペルシアン終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
53,ペルシアン終,65,70,60,115,65,65,無,無,90,148,128,0,アイテムなし,アイテムなし,127,20,70,0,5,5,じゅうなん終　　,テクニシャン終　,0,2,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
54,コダック終　,50,52,48,55,65,50,水,水,190,80,0,1,アイテムなし,アイテムなし,127,20,70,0,2,5,しめりけ終　　　,ノーてんき終　　,50,2,0,0,普通にレベルアップ,33,ゴルダック終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
55,ゴルダック終,80,82,78,85,95,80,水,水,75,174,0,2,アイテムなし,アイテムなし,127,20,70,0,2,5,しめりけ終　　　,ノーてんき終　　,0,1,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
56,マンキー終　,40,80,35,70,35,45,闘,闘,190,74,4,0,アイテムなし,アイテムなし,127,20,70,0,5,5,やるき終　　　　,ーーーーーーー終,0,5,0,0,普通にレベルアップ,28,オコリザル終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
57,オコリザル終,65,105,60,95,60,70,闘,闘,75,149,8,0,アイテムなし,アイテムなし,127,20,70,0,5,5,やるき終　　　　,ーーーーーーー終,0,5,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
58,ガーディ終　,55,70,45,60,70,50,炎,炎,190,91,4,0,チーゴのみ,アイテムなし,63,20,70,5,5,5,いかく終　　　　,もらいび終　　　,0,5,0,0,アイテム使用,ほのおのいし,ウインディ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
59,ウインディ終,90,110,80,95,100,80,炎,炎,75,213,8,0,チーゴのみ,アイテムなし,63,20,70,5,5,5,いかく終　　　　,もらいび終　　　,0,5,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
60,ニョロモ終　,40,50,40,90,40,40,水,水,255,77,64,0,アイテムなし,アイテムなし,127,20,70,3,2,2,ちょすい終　　　,すいすい終　　　,50,129,0,0,普通にレベルアップ,25,ニョロゾ終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
61,ニョロゾ終　,65,65,65,90,50,50,水,水,120,131,128,0,アイテムなし,アイテムなし,127,20,70,3,2,2,ちょすい終　　　,すいすい終　　　,0,129,0,0,アイテム使用,みずのいし,ニョロボン終,0,特定のアイテムを持たせた状態で通信交換,おうじゃのしるし,ニョロトノ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
62,ニョロボン終,90,95,95,70,70,90,水,闘,45,185,48,0,アイテムなし,アイテムなし,127,20,70,3,2,2,ちょすい終　　　,すいすい終　　　,0,129,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
63,ケーシィ終　,25,20,15,90,105,55,超,超,200,73,0,1,アイテムなし,まがったスプーン,63,20,70,3,8,8,シンクロ終　　　,せいしんりょく終,0,5,0,0,普通にレベルアップ,16,ユンゲラー終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
64,ユンゲラー終,40,35,30,105,120,70,超,超,100,145,0,2,アイテムなし,まがったスプーン,63,20,70,3,8,8,シンクロ終　　　,せいしんりょく終,0,5,0,0,通信交換,0,フーディン終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
65,フーディン終,55,50,45,120,135,95,超,超,50,186,0,3,アイテムなし,まがったスプーン,63,20,70,3,8,8,シンクロ終　　　,せいしんりょく終,0,5,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
66,ワンリキー終,70,80,50,35,35,35,闘,闘,180,88,4,0,アイテムなし,カゴのみ,63,20,70,3,8,8,こんじょう終　　,ふくつのこころ終,0,7,0,0,普通にレベルアップ,28,ゴーリキー終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
67,ゴーリキー終,80,100,70,45,50,60,闘,闘,90,146,8,0,アイテムなし,きあいのハチマキ,63,20,70,3,8,8,こんじょう終　　,ふくつのこころ終,0,7,0,0,通信交換,0,カイリキー終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
68,カイリキー終,90,130,80,55,65,85,闘,闘,45,193,12,0,アイテムなし,きあいのハチマキ,63,20,70,3,8,8,こんじょう終　　,ふくつのこころ終,0,7,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
69,マダツボミ終,50,75,35,40,70,30,草,毒,255,84,4,0,アイテムなし,アイテムなし,127,20,70,3,7,7,ようりょくそ終　,ーーーーーーー終,0,3,0,0,普通にレベルアップ,21,ウツドン終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
70,ウツドン終　,65,90,50,55,85,45,草,毒,120,151,8,0,アイテムなし,アイテムなし,127,20,70,3,7,7,ようりょくそ終　,ーーーーーーー終,0,3,0,0,アイテム使用,リーフのいし,ウツボット終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
71,ウツボット終,80,105,65,70,100,70,草,毒,45,191,12,0,アイテムなし,アイテムなし,127,20,70,3,7,7,ようりょくそ終　,ーーーーーーー終,0,3,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
72,メノクラゲ終,40,40,35,70,50,100,水,毒,190,105,0,4,アイテムなし,アイテムなし,127,20,70,5,9,9,クリアボディ終　,へドロえき終　　,0,1,0,0,普通にレベルアップ,30,ドククラゲ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
73,ドククラゲ終,80,70,65,100,80,120,水,毒,60,205,0,8,アイテムなし,アイテムなし,127,20,70,5,9,9,クリアボディ終　,へドロえき終　　,0,1,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
74,イシツブテ終,40,80,100,20,30,30,岩,地,255,86,16,0,アイテムなし,アイテムなし,127,15,70,3,10,10,いしあたま終　　,がんじょう終　　,0,5,0,0,普通にレベルアップ,25,ゴローン終　,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
75,ゴローン終　,55,95,115,35,45,45,岩,地,120,134,32,0,アイテムなし,かたいいし,127,15,70,3,10,10,いしあたま終　　,がんじょう終　　,0,5,0,0,通信交換,0,ゴローニャ終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
76,ゴローニャ終,80,120,130,45,55,65,岩,地,45,177,48,0,アイテムなし,かたいいし,127,15,70,3,10,10,いしあたま終　　,がんじょう終　　,0,5,0,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,進化なし,0,？？？？？終,0,
